planet
date
   X     Y     Z
   VX    VY    VZ
   LT    RG    RR

mercury
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
  -3.915735125896518E-01 -8.031632966591709E-02  2.924535350247253E-02
  -1.129948874009192E-05 -2.630516103846538E-02 -2.149113158398899E-03
   2.314793013708747E-03  4.007939860754987E-01  5.125593356472375E-03

venus
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
   3.136264982750417E-01 -6.546683031177923E-01 -2.707665055849010E-02
   1.815929103058411E-02  8.559082511305901E-03 -9.307155084920444E-04
   4.195449228217426E-03  7.264195155231313E-01  1.611678778565762E-04

earth
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
   8.841554736579088E-01  4.675846666013374E-01 -1.788208627053143E-04
  -8.297160995704158E-03  1.516264093266294E-02 -7.162183657062284E-07
   5.776576176729387E-03  1.000183160234577E+00 -2.461166980108134E-04
   
mars
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
   1.208658599158087E+00 -6.711650212869039E-01 -4.387238661867205E-02
   7.366061904684372E-03  1.341597330634253E-02  1.002098766228210E-04
   7.988698295171823E-03  1.383200231862856E+00 -7.639847848799221E-05

jupiter
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
  -5.425134275608231E+00 -4.965390581079263E-01  1.233903897528774E-01
   6.005854624792057E-04 -7.157806537555252E-03  1.632604352223909E-05
   3.147199555836533E-02  5.449207110478489E+00  5.466634120934639E-05

saturn
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
  -2.236264385979587E+00 -9.782434228347928E+00  2.590917399206301E-01
   5.133462055223907E-03 -1.260612536372090E-03 -1.824999344615985E-04
   5.797539590818439E-02  1.003812862866624E+01  8.017397045129396E-05

uranus
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
   1.845409667002747E+01  7.582158156514705E+00 -2.109158924849341E-01
  -1.523285807361151E-03  3.454614452939250E-03  3.256467685897976E-05
   1.152338636474019E-01  1.995212499286290E+01 -9.644580723748179E-05

neptune
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
   2.826704082725938E+01 -9.904409112730836E+00 -4.474799704373976E-01
   1.017119950374218E-03  2.981565400575927E-03 -8.446130560275674E-05
   1.730076886381931E-01  2.995535269907930E+01 -2.476611192455386E-05

pluto
2457682.500000000 = A.D. 2016-Oct-21 00:00:00.0000 TDB 
   9.442295163349636E+00 -3.181678067153034E+01  6.733338703492342E-01
   3.084725623687341E-03  2.514135379763497E-04 -9.189024333863830E-04
   1.917191856157462E-01  3.319514797004288E+01  6.178310254173211E-04
